template_id,process_id,process_name,process_group,phase,section_name,sort_order,source_sheet,source_row,original_process,original_item,app_item_text,required,risk_level,default_status,assignee_role_default,worker_action_buttons,office_status_options,needs_review,note
CHK-0015,PROC_DEMOLITION,철거,철거,demolition,,9,공정별 체크리스트,26,철거시,화장실 환풍기는 철거후 다시 달았는가?,화장실 환풍기는 철거후 다시 달았는가?,True,high,NOT_STARTED,현장관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0016,PROC_DEMOLITION,철거,철거,demolition,,10,공정별 체크리스트,27,철거시,기존 전기 기구류 표시를 하여 디자이너에게 전달하였는가?,기존 전기 기구류 표시를 하여 디자이너에게 전달하였는가?,True,high,NOT_STARTED,현장관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0017,PROC_DEMOLITION,철거,철거,demolition,,11,공정별 체크리스트,28,철거시,천정 철거 범위를 확인하였는가?,천정 철거 범위를 확인하였는가?,True,low,NOT_STARTED,현장관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0018,PROC_DEMOLITION,철거,철거,demolition,,12,공정별 체크리스트,29,철거시,천정내부에 층고가 얼마나 되는가?,천정내부에 층고가 얼마나 되는가?,True,low,NOT_STARTED,현장관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0019,PROC_DEMOLITION,철거,철거,demolition,,13,공정별 체크리스트,30,철거시,"철거할만한 가벽과 인방, 비내력벽이 있는가?","철거할만한 가벽과 인방, 비내력벽이 있는가?",True,low,NOT_STARTED,현장관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0020,PROC_DEMOLITION,철거,철거,demolition,,14,공정별 체크리스트,31,철거시,새로 쓰는 가구가 있는가?,새로 쓰는 가구가 있는가?,True,medium,NOT_STARTED,현장관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0021,PROC_DEMOLITION,철거,철거,demolition,,15,공정별 체크리스트,32,철거시,재사용하는 시스템가구 가전이 없는가,재사용하는 시스템가구 가전이 없는가?,True,medium,NOT_STARTED,현장관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,앱용 질문형 문장으로 정리
CHK-0022,PROC_DEMOLITION,철거,철거,demolition,,16,공정별 체크리스트,33,철거시,고객이 보관해 달라는 제품 확인,고객이 보관해 달라는 제품 확인하였는가?,True,medium,NOT_STARTED,현장관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,앱용 질문형 문장으로 정리
CHK-0023,PROC_DEMOLITION,철거,철거,demolition,,17,공정별 체크리스트,34,철거시,"스프링클러, 가스계량기 이전이 필요한가?","스프링클러, 가스계량기 이전이 필요한가?",True,high,NOT_STARTED,현장관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0024,PROC_DEMOLITION,철거,철거,demolition,,18,공정별 체크리스트,35,철거시,후드 내 확산소화기 확인 했는가?,후드 내 확산소화기 확인 했는가?,True,high,NOT_STARTED,현장관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0025,PROC_DEMOLITION,철거,철거,demolition,,19,공정별 체크리스트,36,철거시,단열 곰팡이 부위가 있는가?,단열 곰팡이 부위가 있는가?,True,high,NOT_STARTED,현장관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0026,PROC_DEMOLITION,철거,철거,demolition,화장실 철거 시,20,공정별 체크리스트,39,철거시,벽체 타일 부속물을 평탄화 했는가?,벽체 타일 부속물을 평탄화 했는가?,True,medium,NOT_STARTED,현장관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0027,PROC_DEMOLITION,철거,철거,demolition,화장실 철거 시,21,공정별 체크리스트,40,철거시,바닥은 슬라브 방수층까지 철거 했는가?,바닥은 슬라브 방수층까지 철거 했는가?,True,high,NOT_STARTED,현장관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0028,PROC_DEMOLITION,철거,철거,demolition,화장실 철거 시,22,공정별 체크리스트,41,철거시,선홈통의 상태는 어떠한가?,선홈통의 상태는 어떠한가?,True,low,NOT_STARTED,현장관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0029,PROC_DEMOLITION,철거,철거,demolition,화장실 철거 시,23,공정별 체크리스트,42,철거시,"급,배수 라인 상태는 확인했는가?",급·배수 라인 상태는 확인했는가?,True,high,NOT_STARTED,현장관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0030,PROC_DEMOLITION,철거,철거,demolition,화장실 철거 시,24,공정별 체크리스트,43,철거시,타일 마감시 문틀을 타일이 덥지 않는가,타일 마감시 문틀을 타일이 덥지 않는가?,True,medium,NOT_STARTED,현장관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,앱용 질문형 문장으로 정리
CHK-0031,PROC_DEMOLITION,철거,철거,demolition,화장실 철거 시,25,공정별 체크리스트,44,철거시,타일 마감시 문과 도어씰 높이 (마감에서 최소 70mm)마감이 나오는가?,타일 마감시 문과 도어씰 높이 (마감에서 최소 70mm)마감이 나오는가?,True,medium,NOT_STARTED,현장관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0032,PROC_FLOOR_DEMOLITION,마루철거,철거,demolition,,1,공정별 체크리스트,49,마루철거시,바닥 최종마감이 무엇인지 알려줬는가?,바닥 최종마감이 무엇인지 알려줬는가?,True,medium,NOT_STARTED,현장관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0033,PROC_FLOOR_DEMOLITION,마루철거,철거,demolition,,2,공정별 체크리스트,50,마루철거시,마루철거가 몇시쯤 끝이날지 확인하였는가?,마루철거가 몇시쯤 끝이날지 확인하였는가?,True,medium,NOT_STARTED,현장관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0034,PROC_FLOOR_DEMOLITION,마루철거,철거,demolition,,3,공정별 체크리스트,51,마루철거시,"마루철거가 끝나고 전기와 설비작업, 목작업 관련하여 마킹을 하였는가?","마루철거가 끝나고 전기와 설비작업, 목작업 관련하여 마킹을 하였는가?",True,high,NOT_STARTED,현장관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0035,PROC_FLOOR_DEMOLITION,마루철거,철거,demolition,,4,공정별 체크리스트,52,마루철거시,"전기,설비,목작업 마킹이 끝나고 루카스와 확인을 하였는가?","전기,설비,목작업 마킹이 끝나고 루카스와 확인을 하였는가?",True,high,NOT_STARTED,현장관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0036,PROC_ELECTRICAL,전기,전기,rough_in,,1,공정별 체크리스트,54,전기,전기 분전반의 재사용 여부확인,전기 분전반 재사용 여부를 확인하였는가?,True,high,NOT_STARTED,전기 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,앱용 질문형 문장으로 정리
CHK-0037,PROC_ELECTRICAL,전기,전기,rough_in,,2,공정별 체크리스트,55,전기,전기 분전반의 분할은 어떻게 할지 논의 하였는가?,전기 분전반의 분할은 어떻게 할지 논의 하였는가?,True,high,NOT_STARTED,전기 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0038,PROC_ELECTRICAL,전기,전기,rough_in,,3,공정별 체크리스트,56,전기,전기작업이 끝나고 라벨링 작업을 하였는가?,전기작업이 끝나고 라벨링 작업을 하였는가?,True,high,NOT_STARTED,전기 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0039,PROC_ELECTRICAL,전기,전기,rough_in,,4,공정별 체크리스트,57,전기,작업등 설치를 하였는가?,작업등 설치를 하였는가?,True,medium,NOT_STARTED,전기 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0040,PROC_ELECTRICAL,전기,전기,rough_in,,5,공정별 체크리스트,58,전기,도면상 추가되는 콘센트를 빠짐없이 체크하였는가,도면상 추가되는 콘센트를 빠짐없이 체크하였는가?,True,high,NOT_STARTED,전기 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,앱용 질문형 문장으로 정리
CHK-0041,PROC_ELECTRICAL,전기,전기,rough_in,,6,공정별 체크리스트,59,전기,"개별 차단기가 필요한 인덕션, 에어컨에 인입이 되었는가?","개별 차단기가 필요한 인덕션, 에어컨에 인입이 되었는가?",True,high,NOT_STARTED,전기 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0042,PROC_ELECTRICAL,전기,전기,rough_in,,7,공정별 체크리스트,60,전기,"스위치, 콘센트의 높이를 도면과 비교하여 고객과 협의 했는가?","스위치, 콘센트의 높이를 도면과 비교하여 고객과 협의 했는가?",True,high,NOT_STARTED,전기 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0043,PROC_ELECTRICAL,전기,전기,rough_in,,8,공정별 체크리스트,61,전기,현관 자동 중문 설치 시 전원 인입이 있는가?,현관 자동 중문 설치 시 전원 인입이 있는가?,True,medium,NOT_STARTED,전기 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0044,PROC_ELECTRICAL,전기,전기,rough_in,,9,공정별 체크리스트,62,전기,전동 커튼 구간 설치 커튼 박스 내 전원은 인입되었는가?,전동 커튼 구간 설치 커튼 박스 내 전원은 인입되었는가?,True,medium,NOT_STARTED,전기 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0045,PROC_ELECTRICAL,전기,전기,rough_in,,10,공정별 체크리스트,63,전기,전기 상세 가이드에 표시 된 조명부에 전원 인입은 다 되었는가?,전기 상세 가이드에 표시 된 조명부에 전원 인입은 다 되었는가?,True,high,NOT_STARTED,전기 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0046,PROC_ELECTRICAL,전기,전기,rough_in,,11,공정별 체크리스트,64,전기,휴미컨 설치 시 휴미컨 전원 인입이 되었는가?,휴미컨 설치 시 휴미컨 전원 인입이 되었는가?,True,medium,NOT_STARTED,전기 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0047,PROC_ELECTRICAL,전기,전기,rough_in,,12,공정별 체크리스트,65,전기,휴미컨 설치 시 인터넷 UTP는 인입되었는가?,휴미컨 설치 시 인터넷 UTP는 인입되었는가?,True,medium,NOT_STARTED,전기 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0048,PROC_ELECTRICAL,전기,전기,rough_in,,13,공정별 체크리스트,66,전기,주택 공사 시 안방 스위치 4회로 작은방 3회로 인입 되었는가?,주택 공사 시 안방 스위치 4회로 작은방 3회로 인입 되었는가?,True,low,NOT_STARTED,전기 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0049,PROC_ELECTRICAL,전기,전기,rough_in,,14,공정별 체크리스트,67,전기,"(CCT 조명 설치 시 UTP 빨강, 파랑, 노랑 스위치 용 회색 인터넷, 보일러 용)","(CCT 조명 설치 시 UTP 빨강, 파랑, 노랑 스위치 용 회색 인터넷, 보일러 용)을(를) 확인하였는가?",True,high,NOT_STARTED,전기 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,True,자동 질문형 변환 문장. 실무 표현 검수 권장
CHK-0050,PROC_ELECTRICAL,전기,전기,rough_in,,15,공정별 체크리스트,68,전기,인쇼 제어기 사용 시 일반 조명 릴레이는 조명용 릴레이 사용(펜던트 등),인쇼 제어기 사용 시 일반 조명 릴레이는 조명용 릴레이 사용(펜던트 등)을(를) 확인하였는가?,True,low,NOT_STARTED,전기 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,True,자동 질문형 변환 문장. 실무 표현 검수 권장
CHK-0051,PROC_ELECTRICAL,전기,전기,rough_in,,16,공정별 체크리스트,69,전기,주택 공사시 인괄 소등 인입을 했는가?,주택 공사시 인괄 소등 인입을 했는가?,True,low,NOT_STARTED,전기 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0052,PROC_ELECTRICAL,전기,전기,rough_in,,17,공정별 체크리스트,70,전기,주택 공사 시 배전반 통신함 설치 위치를 미리 잡았는가?,주택 공사 시 배전반 통신함 설치 위치를 미리 잡았는가?,True,medium,NOT_STARTED,전기 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0053,PROC_ELECTRICAL,전기,전기,rough_in,,18,공정별 체크리스트,71,전기,(여분 차단기 2개 확보),여분 차단기 2개를 확보하였는가?,True,high,NOT_STARTED,전기 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,앱용 질문형 문장으로 정리
CHK-0054,PROC_ELECTRICAL,전기,전기,rough_in,,19,공정별 체크리스트,72,전기,주택 공사 시 외부 조명 인입되었는가?,주택 공사 시 외부 조명 인입되었는가?,True,low,NOT_STARTED,전기 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0055,PROC_ELECTRICAL,전기,전기,rough_in,,20,공정별 체크리스트,73,전기,전기작업이 끝나고 고객과 필요없는 전기 기구류의 위치 및 새로 신설되는 기구류의 위치에 대하여 이야기 했는가?,전기작업이 끝나고 고객과 필요없는 전기 기구류의 위치 및 새로 신설되는 기구류의 위치에 대하여 이야기 했는가?,True,high,NOT_STARTED,전기 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0056,PROC_ELECTRICAL,전기,전기,rough_in,,21,공정별 체크리스트,74,전기,고객과 TV위치와 높이에 대하여 이야기 하였는가?,고객과 TV위치와 높이에 대하여 이야기 하였는가?,True,medium,NOT_STARTED,전기 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0057,PROC_ELECTRICAL,전기,전기,rough_in,,22,공정별 체크리스트,75,전기,기존 감지기의 위치와 종류 파악,기존 감지기의 위치와 종류를 파악하였는가?,True,high,NOT_STARTED,전기 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,앱용 질문형 문장으로 정리
CHK-0058,PROC_ELECTRICAL,전기,전기,rough_in,,23,공정별 체크리스트,76,전기,타일 물량을 실측하였는가?,타일 물량을 실측하였는가?,True,medium,NOT_STARTED,전기 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0059,PROC_ELECTRICAL,전기,전기,rough_in,,24,공정별 체크리스트,77,전기,전기 회로 확인,전기 회로 확인하였는가?,True,high,NOT_STARTED,전기 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,앱용 질문형 문장으로 정리
CHK-0060,PROC_ELECTRICAL,전기,전기,rough_in,,25,공정별 체크리스트,78,전기,일괄소등이 있는가?,일괄소등이 있는가?,True,low,NOT_STARTED,전기 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0061,PROC_PLUMBING,설비,설비,rough_in,,1,공정별 체크리스트,80,설비,욕실 설비 위치를 반드시 따로 적어놔서(급배수) 설비 작업 후 재확인 하였는가?,욕실 설비 위치를 반드시 따로 적어놔서(급배수) 설비 작업 후 재확인하였는가?,True,high,NOT_STARTED,설비 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0062,PROC_PLUMBING,설비,설비,rough_in,,2,공정별 체크리스트,81,설비,"(욕조, 매립 수전, 트랜지 벽 배수관, 타일 마감에서 높이 필히 확인)","(욕조, 매립 수전, 트랜지 벽 배수관, 타일 마감에서 높이 필히 확인)을(를) 확인하였는가?",True,high,NOT_STARTED,설비 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,True,자동 질문형 변환 문장. 실무 표현 검수 권장
CHK-0063,PROC_PLUMBING,설비,설비,rough_in,,3,공정별 체크리스트,82,설비,욕조 배송일을 확인 하였는가?,욕조 배송일을 확인하였는가?,True,low,NOT_STARTED,설비 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0064,PROC_PLUMBING,설비,설비,rough_in,,4,공정별 체크리스트,83,설비,매립되는 수전의 형태를 확인하였는가?,매립되는 수전의 형태를 확인하였는가?,True,low,NOT_STARTED,설비 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0065,PROC_PLUMBING,설비,설비,rough_in,,5,공정별 체크리스트,84,설비,매립수전이 현장에 도착해 있는가?,매립수전이 현장에 도착해 있는가?,True,low,NOT_STARTED,설비 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0066,PROC_PLUMBING,설비,설비,rough_in,,6,공정별 체크리스트,85,설비,매립수전이 수직 수평에 맞게 설치 되었는가?,매립수전이 수직 수평에 맞게 설치 되었는가?,True,medium,NOT_STARTED,설비 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0067,PROC_PLUMBING,설비,설비,rough_in,,7,공정별 체크리스트,86,설비,분배기를 옮겨야 할지 확인 하였는가?,분배기를 옮겨야 할지 확인하였는가?,True,low,NOT_STARTED,설비 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0068,PROC_PLUMBING,설비,설비,rough_in,,8,공정별 체크리스트,87,설비,분배기를 옮겨야 한다면 위치를 어디로 잡았는가?,분배기를 옮겨야 한다면 위치를 어디로 잡았는가?,True,low,NOT_STARTED,설비 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0069,PROC_PLUMBING,설비,설비,rough_in,,9,공정별 체크리스트,88,설비,주방쪽 급수와 배수 위치를 확인 하였는가?,주방쪽 급수와 배수 위치를 확인하였는가?,True,high,NOT_STARTED,설비 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0070,PROC_PLUMBING,설비,설비,rough_in,,10,공정별 체크리스트,89,설비,세탁기를 옮겨야 한다면 급배수를 어디서 가져올것인가 ?,세탁기를 옮겨야 한다면 급배수를 어디서 가져올것인가 ?,True,high,NOT_STARTED,설비 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0071,PROC_PLUMBING,설비,설비,rough_in,,11,공정별 체크리스트,90,설비,로보락 급배수라인을 어떻게 구성할 것인가?,로보락 급배수라인을 어떻게 구성할 것인가?,True,high,NOT_STARTED,설비 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0072,PROC_PLUMBING,설비,설비,rough_in,,12,공정별 체크리스트,91,설비,정수기를 이동하게 될 시 급배수 라인을 어떻게 구성할 것인가?,정수기를 이동하게 될 시 급배수 라인을 어떻게 구성할 것인가?,True,high,NOT_STARTED,설비 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0073,PROC_PLUMBING,설비,설비,rough_in,,13,공정별 체크리스트,92,설비,에어컨실외기실의 위치는 확인하였는가?,에어컨실외기실의 위치는 확인하였는가?,True,high,NOT_STARTED,설비 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0074,PROC_PLUMBING,설비,설비,rough_in,,14,공정별 체크리스트,93,설비,에어컨 설치위치는 확인 하였는가?,에어컨 설치위치는 확인하였는가?,True,high,NOT_STARTED,설비 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0075,PROC_PLUMBING,설비,설비,rough_in,,15,공정별 체크리스트,94,설비,에어컨 냉매배관과 배수배관은 어디로 이동할 것인가?,에어컨 냉매배관과 배수배관은 어디로 이동할 것인가?,True,high,NOT_STARTED,설비 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0076,PROC_PLUMBING,설비,설비,rough_in,,16,공정별 체크리스트,95,설비,에어컨배수 배관이 연결된 곳에 물이 새지는 않는가?,에어컨배수 배관이 연결된 곳에 물이 새지는 않는가?,True,high,NOT_STARTED,설비 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0077,PROC_PLUMBING,설비,설비,rough_in,,17,공정별 체크리스트,96,설비,주택 공사시 에어컨 외부 배관 마감 처리는 어떻게 할 것인가?,주택 공사시 에어컨 외부 배관 마감 처리는 어떻게 할 것인가?,True,high,NOT_STARTED,설비 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0078,PROC_PLUMBING,설비,설비,rough_in,,18,공정별 체크리스트,97,설비,주택 공사시 에어컨 실외기는 어디에 설치 할 것인가?,주택 공사시 에어컨 실외기는 어디에 설치 할 것인가?,True,high,NOT_STARTED,설비 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
CHK-0079,PROC_PLUMBING,설비,설비,rough_in,,19,공정별 체크리스트,98,설비,", 보일러실 바닥에 배수를 설치하였는가?",", 보일러실 바닥에 배수를 설치하였는가?",True,high,NOT_STARTED,설비 작업자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,
